"Origin","Carrier","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay"
"MSP","UA",461,0,2020,0,533,3014
"MSP","WN",529,194,937,0,1359,3019
"MSY","AA",528,28,404,0,1113,2073
"MSY","AS",20,0,128,0,263,411
"MSY","B6",889,0,533,0,707,2129
"MSY","DL",1012,85,1596,0,1571,4264
"MSY","EV",1,0,38,0,0,39
"MSY","F9",1,0,128,0,281,410
"MSY","NK",386,0,1578,0,685,2649
"MSY","UA",683,5,1349,0,2682,4719
"MSY","WN",1475,378,2094,0,3105,7052
"MTJ","AA",134,0,18,0,89,241
"MTJ","DL",40,0,4,0,0,44
"MTJ","EV",5,0,4,0,119,128
"MTJ","OO",88,0,250,0,139,477
"MTJ","UA",108,0,86,0,223,417
"MYR","DL",15,0,6,0,124,145
"MYR","EV",249,0,15,0,343,607
"MYR","NK",293,35,1018,0,1415,2761
"OAJ","DL",0,19,0,0,3,22
"OAJ","EV",247,0,29,0,245,521
